C:\Users\WhizKid2004\PycharmProjects\poliGPTTest\venv\Scripts\python.exe C:\Users\WhizKid2004\PycharmProjects\a1\part1\main.py
Executing GP Runs Please Wait...
   	      	                            fitness                            	                          size
   	      	---------------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg    	gen	max        	med    	min    	nevals	std    	avg    	gen	max	med	min	nevals	std
48 	271   	822.551    	48 	222113     	1.43322	0.407215	271   	12824.9    	115.29 	48 	174	117  	4  	271   	25.5051
49 	264   	3574.98    	49 	1.03339e+06	1.35501	0.407215	264   	59567.6    	116.917	49 	181	118  	6  	264   	25.5685
50 	275   	96084.4    	50 	2.87388e+07	1.33266	0.229887	275   	1.65645e+06	114.683	50 	183	116.5	1  	275   	25.9904
   	      	                                  fitness                                  	                          size
   	      	---------------------------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg        	gen	max        	med    	min    	nevals	std        	avg 	gen	max	med	min	nevals	std
0  	300   	2.23156e+06	0  	6.64517e+08	24.5568	15.6625	300   	3.83015e+07	15.2	0  	46 	13 	4  	300   	8.77496
1  	281   	47.9351    	1  	6814.04    	22.319 	15.6625	281   	391.777    	12.7433	1  	38 	11 	1  	281   	8.74781
2  	285   	1842.2     	2  	539448     	21.4636	14.3627	285   	31092.4    	12.24  	2  	44 	9.5	1  	285   	9.4838
3  	269   	1782.2     	3  	521570     	21.1469	14.3627	269   	30061.8    	12.65  	3  	45 	11 	1  	269   	8.76133
4  	281   	22.6938    	4  	264.623    	20.9194	13.7164	281   	15.6428    	14.7567	4  	46 	13 	1  	281   	8.74781
5  	285   	167.071    	5  	42185.7    	20.6241	13.7164	285   	2430.31    	15.5467	5  	50 	15 	1  	285   	7.83078
6  	279   	4156.3     	6  	1.23861e+06	19.7757	13.7164	279   	71390.5    	16.1567	6  	43 	16 	1  	279   	7.07098
7  	279   	60.0627    	7  	5420.72    	18.9141	11.9343	279   	416.549    	16.48  	7  	39 	16 	1  	279   	6.56477
8  	273   	43.7474    	8  	4373.3     	19.0007	6.69681	273   	257.952    	17.07  	8  	34 	17 	1  	273   	7.09637
9  	273   	24.1124    	9  	422.282    	18.8259	6.24912	273   	32.1559    	18.4467	9  	41 	17 	1  	273   	8.54676
10 	273   	46.4545    	10 	4921.07    	18.1538	4.78064	273   	301.371    	18.8833	10 	56 	17 	2  	273   	9.05482
11 	288   	128.918    	11 	27287.5    	17.053 	4.78064	288   	1579.47    	21.2833	11 	61 	20.5	1  	288   	10.4152
12 	274   	86.2385    	12 	15340.3    	17.0669	4.78064	274   	917.452    	23.61  	12 	57 	23  	1  	274   	10.174
13 	278   	34.1259    	13 	2722.12    	16.6624	4.78064	278   	166.736    	26.29  	13 	64 	25  	1  	278   	11.169
14 	278   	1048.49    	14 	306899     	15.9249	4.78064	278   	17687.9    	28.3167	14 	69 	27.5	1  	278   	12.4012
15 	274   	24.0481    	15 	981.267    	16.0559	4.78064	274   	61.2575    	29.87  	15 	74 	28  	4  	274   	14.0164
16 	282   	164.586    	16 	41903.8    	15.2159	4.78064	282   	2414.78    	32.8033	16 	79 	31  	1  	282   	15.7134
