C:\Users\WhizKid2004\PycharmProjects\poliGPTTest\venv\Scripts\python.exe C:\Users\WhizKid2004\PycharmProjects\a1\part1\main.py
Executing GP Runs Please Wait...
   	      	                            fitness                            	                          size
   	      	---------------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg    	gen	max        	med    	min    	nevals	std    	avg    	gen	max	med	min	nevals	std
45 	284   	232.797    	45 	58321.7    	2.65233	0.950136	284   	3365.08    	57.8667	45 	105	56.5	3  	284   	17.5085
46 	286   	3.6153e+07 	46 	1.08382e+10	5.63468	0.950136	286   	6.24699e+08	57.05  	46 	111	55.5	15 	286   	18.5615
47 	281   	834678     	47 	2.50392e+08	3.45251	0.922046	281   	1.44323e+07	55.1533	47 	116	55  	1  	281   	18.5667
48 	274   	2846.59    	48 	833256     	5.28705	0.922046	274   	48028.1    	55.1833	48 	136	55  	17 	274   	19.0313
49 	273   	2298.95    	49 	361815     	7.34391	0.857628	273   	27138.1    	53.5133	49 	138	55  	3  	273   	19.3412
50 	274   	275393     	50 	8.2512e+07 	7.08846	0.857628	274   	4.75586e+06	53.31  	50 	140	55  	1  	274   	18.7739
   	      	                       fitness                       	                          size
   	      	-----------------------------------------------------	-------------------------------------------------------
gen	nevals	avg    	gen	max   	med    	min   	nevals	std  	avg    	gen	max	med	min	nevals	std
0  	300   	1327.54	0  	329284	24.2991	14.916	300   	19028	14.8133	0  	43 	13 	4  	300   	8.22831
1  	262   	73.9715	1  	8814.49	21.8003	12.0959	262   	538.301	12.38  	1  	48 	11 	1  	262   	7.58259
2  	287   	33.1421	2  	1734.93	21.418 	11.2444	287   	112.033	11.4633	2  	40 	10 	1  	287   	7.03671
3  	266   	1427.48	3  	325782 	21.0697	11.2444	266   	19150.8	12.1767	3  	40 	11 	1  	266   	6.82389
4  	275   	40.254 	4  	3366.43	20.7011	10.8415	275   	209.146	13.2433	4  	46 	12 	1  	275   	7.19936
5  	270   	63.0189	5  	3654.75	20.632 	10.8415	270   	288.516	14.4733	5  	49 	13 	1  	270   	8.4925
6  	271   	49.4222	6  	3429.81	20.3564	8.74808	271   	243.235	14.47  	6  	53 	13 	1  	271   	8.08017
7  	278   	108.248	7  	18501  	18.9035	7.37499	278   	1079.83	14.5267	7  	46 	14 	1  	278   	6.73072
8  	280   	444.398	8  	70516.9	18.9306	7.37499	280   	4620.51	14.6167	8  	40 	13 	1  	280   	7.21547
9  	276   	1870.69	9  	289958 	18.0286	7.37499	276   	21785.2	15.4533	9  	48 	14 	1  	276   	7.90577
10 	286   	243.539	10 	52617.7	16.3738	7.37499	286   	3050.19	16.5833	10 	54 	14 	1  	286   	9.52242
11 	285   	82.0404	11 	5974.06	15.4905	5.07659	285   	388.672	19.35  	11 	60 	17 	3  	285   	10.9852
12 	274   	53.6224	12 	4710.22	14.0145	5.07659	274   	300.705	21.49  	12 	61 	20 	3  	274   	11.6949
13 	272   	5198.88	13 	1.54836e+06	13.7438	5.07659	272   	89243.5	24.4567	13 	60 	24 	1  	272   	12.8712
14 	283   	22.8058	14 	543.043    	13.3838	5.07659	283   	47.5112	26.88  	14 	77 	26 	1  	283   	13.1115
15 	259   	37.0136	15 	2688.11    	12.8721	4.59136	259   	172.852	27.38  	15 	74 	27 	1  	259   	12.6808
16 	277   	1389.29	16 	366204     	12.4311	4.59136	277   	21206.5	29.4033	16 	94 	27 	2  	277   	14.2724
17 	280   	70.6129	17 	3319.7     	13.2363	4.47171	280   	291.719	30.5733	17 	94 	29 	1  	280   	13.6048
18 	271   	42.7782	18 	3332.4     	12.1277	4.41368	271   	215.39 	33.0333	18 	94 	33 	3  	271   	14.8119
19 	273   	1607.86	19 	290118     	12.2011	2.01079	273   	18777.9	34.7767	19 	88 	34 	1  	273   	15.1455
20 	275   	100.778	20 	12227.6    	11.7766	1.99688	275   	796.087	35.8433	20 	80 	36 	1  	275   	15.7951
21 	281   	37.6761	21 	2107.65    	12.0462	1.55714	281   	144.766	37.14  	21 	110	36 	2  	281   	17.1946
22 	275   	60.6306	22 	3957.55    	12.8064	1.55714	275   	315.264	40.5367	22 	132	39 	3  	275   	19.1139
23 	278   	107.626	23 	18705.5    	11.9709	1.18372	278   	1088.59	40.9733	23 	102	39 	1  	278   	19.0504
24 	279   	47.3495	24 	4879.83    	11.2913	1.12253	279   	311.689	41.23  	24 	100	39 	1  	279   	19.4725
25 	268   	59.9895	25 	4569.24    	12.2382	0.727282	268   	348.677	42.3933	25 	97 	39 	5  	268   	18.9363
26 	284   	991.276	26 	281822     	11.2641	0.727282	284   	16245.6	45.21  	26 	110	42 	4  	284   	20.3786
27 	271   	173.254	27 	17779.6    	10.8161	0.727282	271   	1417.46	46.0733	27 	110	42 	1  	271   	23.5053
28 	279   	31.2254	28 	1796.37    	10.0796	0.727282	279   	123.749	50.3533	28 	118	48 	2  	279   	23.5675
29 	267   	196.104	29 	18239      	9.37264	0.727282	267   	1433.5 	54.27  	29 	155	53.5	1  	267   	25.724
30 	271   	51.1821	30 	3268.94    	9.00286	0.727282	271   	268.446	57.2867	30 	178	54  	3  	271   	27.8361
31 	279   	193.853	31 	31706.6    	8.14057	0.727282	279   	2073.97	60.5133	31 	184	55.5	6  	279   	31.8921
32 	262   	31.3071	32 	475.95     	8.47529	0.727282	262   	71.7987	59.8567	32 	184	52.5	6  	262   	35.6892
33 	282   	36.4768	33 	1650.49    	8.59274	0.727282	282   	132.569	59.7267	33 	185	49.5	1  	282   	37.4656
34 	265   	79.2145	34 	7279.32    	7.36139	0.727282	265   	584.589	57.6267	34 	192	43  	1  	265   	39.1593
35 	276   	36.9623	35 	3354.18    	5.68831	0.727282	276   	217.024	61.1867	35 	192	42  	6  	276   	43.7406
36 	285   	152235 	36 	4.56587e+07	6.374  	0.727282	285   	2.63171e+06	59.8867	36 	207	42  	1  	285   	44.7999
37 	284   	47.0126	37 	2010.39    	6.66285	0.727282	284   	201.536    	60.2933	37 	230	42  	6  	284   	48.4229
38 	277   	58.6424	38 	2962.8     	7.49065	0.442943	277   	301.683    	57.0867	38 	234	41  	6  	277   	45.4921
39 	272   	35.2108	39 	1248.7     	4.39694	0.274817	272   	124.361    	55.21  	39 	204	41  	1  	272   	43.0708
40 	282   	23176.1	40 	6.9254e+06 	6.62098	0.274817	282   	399166     	51.3733	40 	194	43.5	3  	282   	34.9214
41 	261   	95.1636	41 	8430.78    	5.887  	0.274817	261   	630.084    	51.5467	41 	194	45  	6  	261   	33.0399
42 	292   	92.4322	42 	12088      	6.67071	0.274817	292   	771.285    	48.96  	42 	182	47  	1  	292   	25.5412
43 	282   	1040.06	43 	290100     	6.37508	0.272243	282   	16727.8    	49.8733	43 	171	47  	1  	282   	22.5453
44 	274   	96.7577	44 	9547.34    	4.36869	0.272243	274   	706.067    	51.5833	44 	168	50  	4  	274   	23.1562
45 	283   	77.5869	45 	4599.6     	2.94071	0.272243	283   	464.249    	50.8833	45 	106	51  	1  	283   	20.2806
46 	278   	66.7338	46 	8030.18    	2.90994	0.272243	278   	508.987    	52.7333	46 	103	51  	3  	278   	19.5176
47 	285   	1069.82	47 	290016     	2.7465 	0.272243	285   	16729.8    	54.86  	47 	106	54  	1  	285   	21.9724
48 	277   	49.2776	48 	6416.88    	2.48928	0.242829	277   	391.635    	54.5533	48 	111	54  	1  	277   	23.2139
49 	274   	32.4119	49 	3047.95    	2.09308	0.242829	274   	240.943    	56.72  	49 	139	56  	6  	274   	22.4405
50 	273   	72.9064	50 	11021.8    	1.67705	0.242829	273   	673.095    	56.1633	50 	138	56  	1  	273   	20.5646
   	      	                                  fitness                                  	                          size
   	      	---------------------------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg        	gen	max        	med    	min    	nevals	std        	avg    	gen	max	med 	min	nevals	std
0  	300   	5.02643e+06	0  	1.50769e+09	24.0206	16.6243	300   	8.69011e+07	15.3533	0  	48 	12.5	4  	300   	9.63475
1  	273   	42.5424    	1  	2588       	21.9069	16.6243	273   	161.322    	12.52  	1  	63 	10  	1  	273   	8.88798
2  	274   	33.3217    	2  	1832.94    	21.3397	14.4306	274   	114.079    	12.8767	2  	49 	11  	1  	274   	9.84284
3  	281   	41.4567    	3  	2308.98    	21.1635	12.745 	281   	172.386    	15.2833	3  	53 	13  	1  	281   	10.9494
4  	275   	27.5937    	4  	518.681    	20.8282	12.745 	275   	48.043     	17.58  	4  	53 	14  	1  	275   	12.0603
5  	284   	1509.11    	5  	441811     	20.5472	11.4973	284   	25464.1    	21.22  	5  	63 	18  	1  	284   	12.8498
6  	269   	25.7164    	6  	592.263    	18.9922	11.4973	269   	49.1606    	25.1433	6  	64 	24.5	1  	269   	13.6773
7  	271   	25.7466    	7  	585.342    	18.2912	11.4973	271   	44.0334    	27.6833	7  	72 	28  	1  	271   	14.3595
8  	273   	30.0192    	8  	1655.86    	17.3447	11.4973	273   	121.728    	29.99  	8  	75 	30  	1  	273   	15.3485
9  	275   	22.6634    	9  	349.569    	16.9846	11.4973	275   	29.3535    	33.52  	9  	78 	33  	1  	275   	16.2116
10 	278   	43.3421    	10 	5355.08    	16.891 	11.4973	278   	315.861    	34.3467	10 	79 	33  	1  	278   	16.4932
11 	266   	23.5277    	11 	360.598    	16.2843	11.4973	266   	39.3111    	36.0167	11 	81 	35  	3  	266   	16.9667
12 	269   	4655.36    	12 	1.38843e+06	15.958 	10.7278	269   	80025.7    	39.8033	12 	97 	38  	1  	269   	18.9868
13 	287   	2677.1     	13 	796352     	15.1464	10.7197	287   	45899.4    	40.5533	13 	99 	39.5	6  	287   	18.7507
14 	274   	41.4492    	14 	3702.66    	15.151 	9.61374	274   	222.104    	39.8567	14 	103	36  	5  	274   	21.0009
15 	266   	111.329    	15 	23862.6    	14.2249	7.27778	266   	1380.37    	42.08  	15 	107	38  	3  	266   	22.3407
16 	281   	20.9751    	16 	542.67     	13.8536	6.55602	281   	39.9212    	44.84  	16 	118	41  	3  	281   	22.8009
17 	274   	38.6307    	17 	4443.58    	13.678 	6.55602	274   	266.007    	45.4433	17 	105	41.5	1  	274   	21.8141
18 	274   	585.109    	18 	169399     	13.4941	2.20967	274   	9762.87    	45.6333	18 	101	45  	1  	274   	21.9121
19 	274   	109.042    	19 	23778.8    	12.8982	1.7332 	274   	1374.19    	51.5133	19 	124	50.5	5  	274   	22.3284
20 	278   	24.8483    	20 	1241.43    	12.8196	1.72458	278   	80.0395    	50.68  	20 	121	48  	1  	278   	20.7813
21 	281   	167.006    	21 	43792.8    	11.9576	1.59151	281   	2523.58    	49.7267	21 	113	47  	1  	281   	20.3087
22 	276   	30.694     	22 	2296.24    	11.841 	1.04949	276   	150.067    	46.2067	22 	113	44  	2  	276   	18.6356
23 	276   	76.0672    	23 	15317.5    	11.4364	1.04949	276   	883.514    	43.6367	23 	107	43  	1  	276   	17.5185
24 	280   	36.2227    	24 	1391.26    	11.476 	1.04949	280   	135.474    	43.7133	24 	98 	44  	2  	280   	17.8259
25 	285   	215.199    	25 	18200      	11.5572	1.02576	285   	1510.56    	45.2267	25 	99 	46  	6  	285   	16.9037
26 	267   	44.9559    	26 	3895.03    	10.4714	1.02576	267   	248.863    	46.29  	26 	110	46  	3  	267   	17.7373
27 	280   	52.7037    	27 	6876.24    	10.4278	1.0083 	280   	412.058    	47.7133	27 	105	47.5	6  	280   	17.4693
28 	277   	55.5812    	28 	2300.66    	8.89643	1.0083 	277   	199.414    	49.0433	28 	96 	47  	1  	277   	16.2416
29 	272   	25.8433    	29 	1153.62    	7.60598	1.0083 	272   	92.5875    	52.5067	29 	111	53  	3  	272   	18.0556
30 	284   	87.9877    	30 	7765.98    	7.71296	0.9295 	284   	550.551    	53.3167	30 	111	54.5	1  	284   	20.9054
31 	284   	29.8008    	31 	1366.47    	5.70939	0.873616	284   	130.295    	54.7533	31 	108	56.5	1  	284   	18.8565
32 	275   	48.9991    	32 	2010.98    	6.4617 	0.657315	275   	209.701    	55.26  	32 	116	56  	4  	275   	18.5008
33 	281   	38.398     	33 	1356.41    	6.18087	0.657315	281   	151.338    	58.76  	33 	117	58  	6  	281   	19.8203
34 	282   	148.466    	34 	30122.9    	4.67229	0.657315	282   	1759.12    	58.68  	34 	124	59  	1  	282   	21.4101
35 	291   	102.926    	35 	11433.1    	4.19676	0.648883	291   	757.684    	60.9267	35 	128	60  	1  	291   	21.6188
36 	277   	40.3962    	36 	1649.93    	3.17151	0.628425	277   	164.869    	60.9067	36 	126	60  	2  	277   	20.8347
37 	272   	414.324    	37 	104406     	3.02641	0.628425	272   	6027.32    	61.9667	37 	119	61.5	6  	272   	21.2753
38 	278   	72.2976    	38 	6164.46    	2.63353	0.628425	278   	467.697    	62.9733	38 	110	62.5	3  	278   	22.4311
39 	284   	36.4675    	39 	1068.14    	3.16211	0.628425	284   	142.459    	66.3333	39 	150	66  	4  	284   	22.1798
40 	273   	26.0844    	40 	1412.3     	2.08196	0.593115	273   	130.366    	66.62  	40 	136	67  	3  	273   	21.7037
41 	285   	113.194    	41 	18761      	1.92908	0.593115	285   	1111.18    	67.24  	41 	115	66  	3  	285   	21.2277
42 	279   	29.4325    	42 	909.809    	2.20005	0.536792	279   	113.966    	67.88  	42 	134	68  	1  	279   	23.4292
43 	266   	150.189    	43 	30773.1    	2.24762	0.536792	266   	1805.73    	70.24  	43 	129	69  	6  	266   	22.2615
44 	276   	282.336    	44 	40818.9    	2.20022	0.536792	276   	3197.59    	70.6867	44 	112	71  	5  	276   	21.9302
45 	277   	28.3508    	45 	1398.5     	1.64225	0.457146	277   	137.047    	71.9333	45 	122	73  	2  	277   	22.3685
46 	278   	103.587    	46 	9747.21    	1.71174	0.443218	278   	765.094    	71.2567	46 	141	72  	1  	278   	23.8785
47 	282   	54.0848    	47 	4071.26    	1.61195	0.392935	282   	353.929    	73.24  	47 	139	76  	1  	282   	24.2621
48 	280   	37.7566    	48 	5451.87    	1.64065	0.392175	280   	325.026    	72.7467	48 	137	75.5	1  	280   	24.1007
49 	280   	30.9266    	49 	1690.81    	1.61039	0.392175	280   	153.304    	72.11  	49 	126	77  	1  	280   	23.456
50 	270   	83.3392    	50 	7223.1     	1.85071	0.392175	270   	532.537    	75.24  	50 	160	80  	6  	270   	21.3363
   	      	                           fitness                            	                         size
   	      	--------------------------------------------------------------	------------------------------------------------------
gen	nevals	avg  	gen	max        	med    	min    	nevals	std   	avg  	gen	max	med	min	nevals	std
0  	300   	12322	0  	3.20211e+06	23.9598	14.9685	300   	185055	15.76	0  	49 	13 	4  	300   	9.3021
1  	272   	79.472	1  	15991.3    	21.6617	13.3113	272   	920.639	12.19	1  	46 	11 	1  	272   	7.85158
2  	271   	24.0922	2  	457.593    	21.0072	11.3491	271   	27.6135	12.1367	2  	45 	11 	1  	271   	6.95016
3  	275   	28.7404	3  	937.557    	20.8689	11.3491	275   	64.4196	13.41  	3  	37 	12 	1  	275   	7.73834
4  	275   	27.9313	4  	932.637    	20.6667	10.0815	275   	60.6514	15.81  	4  	39 	15 	1  	275   	8.57636
5  	284   	22.526 	5  	270.501    	19.3689	10.0815	284   	21.7575	19.2   	5  	49 	19 	2  	284   	8.87356
6  	283   	806.593	6  	226435     	18.9496	9.59102	283   	13054.7	21.4067	6  	52 	21 	1  	283   	10.0047
7  	262   	25.7025	7  	479.068    	17.7477	7.63819	262   	43.9729	23.2467	7  	57 	22 	1  	262   	9.9582
8  	256   	33.3569	8  	1349.64    	16.9377	7.52553	256   	101.423	24.2433	8  	58 	23 	1  	256   	9.74872
9  	276   	21.457 	9  	248.457    	16.0728	7.52553	276   	25.7072	25.0733	9  	65 	25 	1  	276   	10.9755
10 	277   	61.516 	10 	3773.03    	14.9024	7.52553	277   	277.978	26.3167	10 	61 	25 	1  	277   	11.3171
11 	277   	36.8892	11 	1215.23    	14.2681	6.78222	277   	115.887	26.3267	11 	68 	25 	1  	277   	11.9278
12 	275   	30.9293	12 	743.133    	13.8794	6.78222	275   	80.6141	26.6233	12 	71 	25 	4  	275   	12.4895
13 	273   	47.2409	13 	2182.82    	14.0601	6.78222	273   	189.132	28.2867	13 	75 	27 	1  	273   	12.653
14 	277   	41.0922	14 	1961.53    	12.7985	5.41135	277   	147.949	31.0167	14 	66 	29 	1  	277   	13.5261
15 	274   	75.4668	15 	8034.74    	13.2578	2.52845	274   	560.514	35.6133	15 	92 	34 	1  	274   	15.8423
16 	279   	92.8732	16 	6913.99    	12.0697	2.52845	279   	585.211	40.17  	16 	104	40 	1  	279   	16.0084
17 	269   	77.7018	17 	13680.1    	11.2716	2.52845	269   	793.925	45.3533	17 	96 	45 	2  	269   	16.4577
18 	271   	31.2561	18 	3113       	11.3126	1.6265 	271   	182.97 	48.0267	18 	102	47 	2  	271   	19.7128
19 	267   	78.4984	19 	4550.8     	10.3154	1.47   	267   	355.413	52.98  	19 	116	51 	1  	267   	22.2019
20 	272   	60.2899	20 	5509.43    	9.62578	1.47   	272   	362.401	55.69  	20 	113	52 	7  	272   	21.0825
21 	281   	63.0057	21 	6196.74    	8.98009	1.3105 	281   	425.94 	58.3467	21 	114	54 	11 	281   	20.9355
22 	280   	108.605	22 	10394.8    	8.98823	0.914666	280   	861.118	58.8833	22 	129	56 	1  	280   	20.9073
23 	279   	4922.21	23 	1.40173e+06	8.02767	0.746241	279   	80861.6	60.6433	23 	127	56 	1  	279   	22.0882
24 	280   	135.23 	24 	17566.8    	7.99801	0.746241	280   	1118.18	60.7   	24 	122	56 	1  	280   	23.2493
25 	270   	243.679	25 	49343.7    	5.26972	0.746241	270   	2937.83	60.89  	25 	122	57 	1  	270   	22.8317
26 	266   	328.448	26 	78731.3    	4.15646	0.653655	266   	4545.41	60.1933	26 	125	54.5	1  	266   	23.0455
27 	280   	56.2253	27 	5387.93    	3.75187	0.533166	280   	372.534	60.83  	27 	135	57  	1  	280   	22.4405
28 	269   	309.742	28 	43761.4    	3.10301	0.422778	269   	3173.37	60.73  	28 	123	57  	1  	269   	20.7828
29 	284   	79.0243	29 	13200.2    	3.20845	0.422778	284   	785.075	62.9933	29 	129	59.5	1  	284   	21.5022
30 	279   	57.2225	30 	2942.35    	2.84831	0.279482	279   	290.107	66.07  	30 	143	63  	3  	279   	25.4862
31 	276   	121.448	31 	12938.9    	2.34999	0.279482	276   	892.05 	69.7067	31 	123	67  	8  	276   	24.0433
32 	278   	26.9125	32 	2220.6     	2.14521	0.279482	278   	147.433	68.4033	32 	132	66  	1  	278   	23.7922
33 	279   	63.6736	33 	5466.84    	1.84696	0.279482	279   	481.876	70.4167	33 	137	69  	6  	279   	22.3835
34 	268   	351.898	34 	59069.6    	1.78107	0.279482	268   	3741.09	70.94  	34 	127	69  	8  	268   	22.9975
35 	278   	45.7128	35 	7093.36    	1.59414	0.279482	278   	431.783	72.48  	35 	132	69  	6  	278   	20.9272
36 	272   	126.599	36 	12132.6    	1.55165	0.207747	272   	1009.47	74.14  	36 	132	71  	3  	272   	21.6535
37 	283   	286.479	37 	23856.1    	1.37152	0.207747	283   	2190.91	75.8467	37 	147	71  	8  	283   	22.0733
38 	285   	29.7132	38 	1739.37    	1.19293	0.160549	285   	164.147	76.9467	38 	137	74  	6  	285   	21.8001
39 	283   	138.848	39 	20288.6    	1.35274	0.160549	283   	1425.86	76.9467	39 	155	75  	8  	283   	22.5531
40 	280   	59.1636	40 	7531.49    	1.12357	0.150144	280   	509.292	80.34  	40 	157	78  	7  	280   	23.4361
41 	275   	112.356	41 	19846.5    	1.01502	0.150144	275   	1284.52	83.2367	41 	142	83  	1  	275   	24.8184
42 	276   	35.8052	42 	3194.11    	1.00288	0.150144	276   	239.514	84.1533	42 	143	83  	1  	276   	24.7783
43 	273   	31.5176	43 	2017.66    	0.894041	0.11125 	273   	169.738	86.2267	43 	147	84  	2  	273   	23.1382
44 	274   	29.4129	44 	4459.87    	0.889115	0.11125 	274   	271.676	84.76  	44 	154	84  	3  	274   	25.2323
45 	280   	56.0774	45 	7185.35    	0.776151	0.11125 	280   	500.774	85.7567	45 	143	85  	15 	280   	22.3636
46 	271   	45.1881	46 	4729.82    	0.739648	0.11125 	271   	325.003	82.3233	46 	137	81  	21 	271   	19.6423
47 	276   	225.154	47 	56892.8    	0.661894	0.11125 	276   	3281.96	82.2433	47 	154	83  	10 	276   	19.2798
48 	268   	1091.02	48 	322346     	0.687309	0.11125 	268   	18578.8	80.6767	48 	131	82.5	15 	268   	21.2805
49 	275   	23.6637	49 	1587.08    	0.775537	0.11125 	275   	138.41 	80.46  	49 	134	82  	7  	275   	21.6337
50 	276   	866.041	50 	233103     	0.648581	0.11125 	276   	13443.4	81.91  	50 	160	85  	1  	276   	23.934
   	      	                              fitness                              	                         size
   	      	-------------------------------------------------------------------	------------------------------------------------------
gen	nevals	avg   	gen	max        	med   	min    	nevals	std        	avg    	gen	max	med	min	nevals	std
0  	300   	350063	0  	9.74051e+07	23.915	17.5387	300   	5.62895e+06	15.3267	0  	48 	12 	4  	300   	9.1942
1  	271   	468.238	1  	57724.4    	22.1743	16.4884	271   	4588.12    	12.82  	1  	42 	11 	1  	271   	7.74215
2  	286   	338.875	2  	50033.2    	21.4847	7.79851	286   	3805.35    	12.06  	2  	37 	11 	1  	286   	7.60546
3  	274   	83.1603	3  	11521.2    	21.2269	7.79851	274   	691.457    	12.58  	3  	39 	11.5	1  	274   	8.07611
4  	272   	68.3074	4  	13722      	21.0951	7.79851	272   	789.692    	14.7867	4  	39 	13  	1  	272   	9.08522
5  	275   	298.457	5  	51240.7    	20.8824	7.79851	275   	3261.28    	17.26  	5  	50 	16  	1  	275   	9.69703
6  	285   	43.7973	6  	2383.9     	20.49  	7.79851	285   	192.178    	19.0433	6  	54 	18  	1  	285   	9.95631
7  	270   	192.997	7  	39695.7    	19.3576	7.79851	270   	2310.16    	21.5633	7  	60 	18  	1  	270   	11.8555
8  	279   	33.7863	8  	2506.5     	18.6272	7.79851	279   	151.392    	23.7033	8  	64 	22  	1  	279   	13.0303
9  	279   	36.3238	9  	2435.72    	18.0466	7.79851	279   	151.399    	27.7967	9  	69 	27  	1  	279   	13.8509
10 	283   	113.549	10 	24230.6    	18.0231	7.79851	283   	1398.95    	31.4633	10 	76 	30  	1  	283   	15.2253
11 	278   	194.606	11 	45962      	17.1982	7.79851	278   	2660.37    	34.8   	11 	78 	34  	4  	278   	16.5668
12 	270   	68.1597	12 	11415.8    	17.2592	7.79851	270   	663.85     	38.33  	12 	83 	37  	1  	270   	17.2503
13 	283   	48.4302	13 	4989.17    	16.5768	7.79851	283   	304.698    	40.4433	13 	93 	39  	1  	283   	17.2153
14 	272   	241.97 	14 	62838.5    	16.677 	7.79851	272   	3621.73    	42.42  	14 	89 	41  	1  	272   	17.446
15 	288   	40.4006	15 	3769.68    	16.3206	7.79851	288   	227.76     	47.1867	15 	99 	45  	1  	288   	18.8764
16 	273   	61.8404	16 	6752.82    	15.4251	4.26284	273   	438.772    	50.7   	16 	94 	48  	2  	273   	19.5362
17 	279   	43.1092	17 	2876.14    	15.2573	4.26284	279   	211.387    	50.9533	17 	121	49  	1  	279   	20.0011
18 	269   	54.5833	18 	7258.09    	14.5692	4.26284	269   	448.935    	56.67  	18 	135	60.5	1  	269   	22.0832
19 	266   	308.507	19 	43418.4    	13.9593	4.26284	266   	3494.77    	57.7233	19 	143	61  	1  	266   	23.4325
20 	285   	335.579	20 	82001.1    	13.3513	4.26284	285   	4774.13    	62.29  	20 	140	66  	1  	285   	25.0228
21 	277   	3173.36	21 	943334     	12.3138	4.26284	277   	54371      	65.7067	21 	146	67  	3  	277   	26.2572
22 	276   	34.0789	22 	3952.4     	11.6947	4.26284	276   	233.778    	67.8   	22 	148	71  	3  	276   	27.9759
23 	286   	62.9538	23 	6802.66    	11.5569	4.26284	286   	434.94     	68.1533	23 	154	70  	1  	286   	31.2691
24 	277   	229.154	24 	52967.4    	11.4914	3.47191	277   	3065.59    	66.4   	24 	148	67  	2  	277   	29.1746
25 	282   	2266.92	25 	627108     	11.0672	1.8044 	282   	36194      	67.01  	25 	156	67  	3  	282   	28.0481
26 	269   	68.0504	26 	5824.07    	10.8857	1.8044 	269   	402.815    	67.1033	26 	160	64.5	1  	269   	27.5044
27 	279   	824.327	27 	223532     	10.5506	1.14747	279   	12895.7    	66.8667	27 	158	62  	2  	279   	28.2501
28 	287   	64.7628	28 	5291.4     	10.5504	1.14747	287   	433.305    	65.44  	28 	160	62  	3  	287   	28.0807
29 	274   	1004.16	29 	235814     	9.02713	0.622465	274   	13943.8    	67.69  	29 	157	65  	3  	274   	28.727
30 	286   	125.619	30 	16494.1    	7.26423	0.527045	286   	1104.01    	71.41  	30 	176	68  	1  	286   	29.183
31 	275   	207.639	31 	23687.4    	6.18486	0.527045	275   	1566.13    	72.1033	31 	161	70  	3  	275   	29.7341
32 	275   	83.5772	32 	9946.4     	5.51153	0.508264	275   	667.854    	71.2533	32 	160	69.5	4  	275   	31.1632
33 	280   	4761.09	33 	1.38881e+06	5.1238 	0.328592	280   	80048.1    	75.0533	33 	176	74  	5  	280   	33.9314
34 	273   	2304.86	34 	574685     	3.43762	0.328592	273   	33376.3    	73.8633	34 	160	72.5	5  	273   	30.5052
35 	281   	8032.26	35 	1.8214e+06 	2.92306	0.314621	281   	109091     	72.0567	35 	157	72  	2  	281   	29.7171
36 	282   	208.1  	36 	18444.4    	3.2874 	0.199588	282   	1325.23    	72.19  	36 	157	73  	7  	282   	26.8676
37 	273   	1642.4 	37 	464210     	1.85727	0.0795621	273   	26757.5    	72.9367	37 	145	74  	1  	273   	25.0312
38 	279   	133.496	38 	17334.7    	1.43146	0.0718031	279   	1255.11    	75.8533	38 	145	76  	1  	279   	26.2761
39 	265   	4248.76	39 	1.15199e+06	1.00659	0.0718031	265   	66440.5    	77.66  	39 	139	78  	8  	265   	24.5567
40 	282   	10653.8	40 	3.05172e+06	1.17095	0.0583349	282   	176030     	74.23  	40 	136	72  	3  	282   	26.9839
41 	269   	5273.36	41 	1.53403e+06	0.912002	0.0338087	269   	88423.7    	72.1567	41 	145	70  	1  	269   	26.6707
42 	269   	201.29 	42 	21351.7    	1.2274  	0.0338087	269   	1429.91    	70.9267	42 	144	67  	1  	269   	27.2967
43 	278   	146.033	43 	20543.8    	1.10548 	0.0338087	278   	1252.7     	72.36  	43 	144	68  	3  	278   	25.9627
44 	278   	239.472	44 	44356.7    	1.06818 	0.0333493	278   	2607.8     	72.22  	44 	150	69  	1  	278   	25.8289
45 	268   	2929.53	45 	499385     	0.933375	0.0333493	268   	34715      	72.4067	45 	164	68  	3  	268   	27.3627
46 	277   	176.946	46 	20831.2    	1.00556 	0.0325859	277   	1375.15    	70.9767	46 	160	66.5	3  	277   	27.3775
47 	283   	610.839	47 	157246     	0.766748	0.0325859	283   	9073.05    	69.23  	47 	156	66  	1  	283   	25.7707
48 	271   	2890.82	48 	845103     	0.868997	0.0323461	271   	48708.5    	70.6467	48 	164	69  	3  	271   	25.5744
49 	281   	152.057	49 	16581      	1.28968 	0.0315486	281   	1083.64    	70.6533	49 	167	70  	2  	281   	27.3162
50 	275   	186.249	50 	19064.9    	0.778303	0.0305038	275   	1352.22    	72.9133	50 	150	72  	2  	275   	26.5587
   	      	                                 fitness                                  	                          size
   	      	--------------------------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg        	gen	max       	med    	min    	nevals	std       	avg    	gen	max	med	min	nevals	std
0  	300   	7.20868e+14	0  	2.1626e+17	23.6074	17.5381	300   	1.2465e+16	15.4933	0  	46 	13 	4  	300   	8.98944
1  	280   	26.8322    	1  	442.5     	21.7094	16.9634	280   	31.6908   	12.81  	1  	41 	11 	1  	280   	8.5065
2  	278   	17847.2    	2  	5.32654e+06	21.168 	13.66  	278   	307012    	13.3533	2  	40 	12 	1  	278   	8.10854
